Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - German,pct_german
0500000US08097,08097,"Pitkin County, Colorado",17000,,1986,11.6823529412
0500000US08099,08099,"Prowers County, Colorado",12539,,2215,17.6648855571
0500000US08101,08101,"Pueblo County, Colorado",159072,,18225,11.457076041
0500000US08103,08103,"Rio Blanco County, Colorado",6728,,974,14.4768133175
0500000US08105,08105,"Rio Grande County, Colorado",11925,,1998,16.7547169811
0500000US08107,08107,"Routt County, Colorado",23385,,3594,15.3688261706
0500000US08109,08109,"Saguache County, Colorado",6189,,866,13.9925674584
0500000US08111,08111,"San Juan County, Colorado",747,120,167,22.3560910308
0500000US08113,08113,"San Miguel County, Colorado",7432,,998,13.4284176534
0500000US08115,08115,"Sedgwick County, Colorado",2389,,686,28.714943491
0500000US08117,08117,"Summit County, Colorado",27753,,4254,15.3280726408
0500000US08119,08119,"Teller County, Colorado",23163,,4226,18.2446142555
0500000US08121,08121,"Washington County, Colorado",4796,,1399,29.1701417848
0500000US08123,08123,"Weld County, Colorado",253552,,48006,18.9333943333
0500000US08125,08125,"Yuma County, Colorado",10032,,2665,26.5649920255
0500000US09001,09001,"Fairfield County, Connecticut",918892,,46128,5.01995882
0500000US09003,09003,"Hartford County, Connecticut",893504,,39830,4.4577304634
0500000US09005,09005,"Litchfield County, Connecticut",189277,,14668,7.7494888444
0500000US09007,09007,"Middlesex County, Connecticut",165639,,12345,7.45295492
0500000US09009,09009,"New Haven County, Connecticut",860995,,42143,4.8946857996
0500000US09011,09011,"New London County, Connecticut",273723,,18175,6.639924303
0500000US09013,09013,"Tolland County, Connecticut",152137,,10972,7.2119208345
0500000US09015,09015,"Windham County, Connecticut",118046,,6155,5.2140690917
0500000US10001,10001,"Kent County, Delaware",162785,,17397,10.68710262
0500000US10003,10003,"New Castle County, Delaware",539665,,47387,8.7808177295
0500000US10005,10005,"Sussex County, Delaware",197681,,22459,11.3612335025
0500000US11001,11001,"District of Columbia, District of Columbia",605759,,24241,4.0017564741
0500000US12001,12001,"Alachua County, Florida",247973,,22028,8.8832251898
0500000US12003,12003,"Baker County, Florida",27010,,1735,6.4235468345
0500000US12005,12005,"Bay County, Florida",168957,,15282,9.0449049166
0500000US12007,12007,"Bradford County, Florida",28404,,1998,7.0342205323
0500000US12009,12009,"Brevard County, Florida",544019,,57143,10.5038610784
0500000US12011,12011,"Broward County, Florida",1761993,,82104,4.6597233928
0500000US12013,12013,"Calhoun County, Florida",14639,,1050,7.1726210807
0500000US12015,12015,"Charlotte County, Florida",160380,,19045,11.8749220601
0500000US12017,12017,"Citrus County, Florida",140805,,16467,11.6948971983
0500000US12019,12019,"Clay County, Florida",190891,,19530,10.2309695062
0500000US12021,12021,"Collier County, Florida",323548,,32582,10.07022142
0500000US12023,12023,"Columbia County, Florida",67546,,6243,9.2425902348
0500000US12027,12027,"DeSoto County, Florida",34628,,2330,6.7286588888
0500000US12029,12029,"Dixie County, Florida",16301,,1564,9.5945034047
0500000US12031,12031,"Duval County, Florida",866431,,56341,6.5026528368
0500000US12033,12033,"Escambia County, Florida",298864,,24781,8.2917313561
0500000US12035,12035,"Flagler County, Florida",95987,,9496,9.8930063446
0500000US12037,12037,"Franklin County, Florida",11545,,1103,9.5539194456
0500000US12039,12039,"Gadsden County, Florida",46823,,2054,4.3867330158
0500000US12041,12041,"Gilchrist County, Florida",16880,,1894,11.2203791469
0500000US12043,12043,"Glades County, Florida",12952,,981,7.5741198271
0500000US12045,12045,"Gulf County, Florida",15796,,1265,8.008356546
0500000US12047,12047,"Hamilton County, Florida",14728,,882,5.9885931559
0500000US12049,12049,"Hardee County, Florida",27347,,1324,4.8414816982
0500000US12051,12051,"Hendry County, Florida",38669,,922,2.3843388761
0500000US12053,12053,"Hernando County, Florida",172784,,21079,12.1996249653
0500000US12055,12055,"Highlands County, Florida",98734,,10087,10.2163388498
0500000US12057,12057,"Hillsborough County, Florida",1238365,,92120,7.4388407295
0500000US12059,12059,"Holmes County, Florida",19971,,1142,5.7182915227
0500000US12061,12061,"Indian River County, Florida",138203,,15768,11.4093037054
0500000US12063,12063,"Jackson County, Florida",49589,,2505,5.0515235234
0500000US12065,12065,"Jefferson County, Florida",14564,,770,5.2870090634
0500000US12067,12067,"Lafayette County, Florida",8668,,640,7.3834794647
0500000US12069,12069,"Lake County, Florida",297995,,31497,10.5696404302
0500000US12071,12071,"Lee County, Florida",624155,,71405,11.4402672413
0500000US12073,12073,"Leon County, Florida",276506,,19260,6.9654908031
0500000US12075,12075,"Levy County, Florida",40541,,4036,9.9553538393
0500000US12077,12077,"Liberty County, Florida",8300,,797,9.6024096386
0500000US12079,12079,"Madison County, Florida",19187,,1008,5.253557096
0500000US12081,12081,"Manatee County, Florida",324834,,40157,12.3623142898
0500000US12083,12083,"Marion County, Florida",331987,,35569,10.7139737399
0500000US12085,12085,"Martin County, Florida",146497,,16462,11.2370901793
0500000US12086,12086,"Miami-Dade County, Florida",2512219,,36072,1.4358620805
0500000US12087,12087,"Monroe County, Florida",73475,,7813,10.6335488261
0500000US12089,12089,"Nassau County, Florida",73303,,5723,7.8073203007
0500000US12091,12091,"Okaloosa County, Florida",183400,,16858,9.1919302072
0500000US12093,12093,"Okeechobee County, Florida",39779,,3518,8.8438623394
0500000US12095,12095,"Orange County, Florida",1153795,,70177,6.0822763142
0500000US12097,12097,"Osceola County, Florida",272355,,15639,5.7421380184
0500000US12099,12099,"Palm Beach County, Florida",1324085,,86323,6.5194455039
0500000US12101,12101,"Pasco County, Florida",465276,,53557,11.5108021905
0500000US12103,12103,"Pinellas County, Florida",917389,,105069,11.4530477257
0500000US12105,12105,"Polk County, Florida",604562,,48955,8.0975979304
0500000US12107,12107,"Putnam County, Florida",74224,,5686,7.6605949558
0500000US12109,12109,"St. Johns County, Florida",191495,,20085,10.4885245046
0500000US12111,12111,"St. Lucie County, Florida",278246,,21855,7.8545603531
0500000US12113,12113,"Santa Rosa County, Florida",153086,,15239,9.9545353592
0500000US12115,12115,"Sarasota County, Florida",380479,,49367,12.9749605103
0500000US12117,12117,"Seminole County, Florida",423389,,36891,8.7132636889
0500000US12119,12119,"Sumter County, Florida",94240,,13020,13.8157894737
0500000US12121,12121,"Suwannee County, Florida",42287,,3322,7.855842221
0500000US12123,12123,"Taylor County, Florida",22561,,1843,8.1689641417
0500000US12125,12125,"Union County, Florida",15400,,1000,6.4935064935
0500000US12127,12127,"Volusia County, Florida",495581,,50275,10.1446584918
0500000US12129,12129,"Wakulla County, Florida",30449,,2164,7.106965746
0500000US12131,12131,"Walton County, Florida",55349,,3447,6.2277547923
0500000US12133,12133,"Washington County, Florida",24732,,1283,5.187611192
0500000US13001,13001,"Appling County, Georgia",18279,,388,2.1226544122
0500000US13003,13003,"Atkinson County, Georgia",8355,,71,0.8497905446
0500000US13005,13005,"Bacon County, Georgia",11124,,116,1.0427903632
0500000US13007,13007,"Baker County, Georgia",3483,,30,0.8613264427
0500000US13009,13009,"Baldwin County, Georgia",46378,,1425,3.0725775152
0500000US13011,13011,"Banks County, Georgia",18250,,524,2.8712328767
0500000US13013,13013,"Barrow County, Georgia",69136,,4534,6.5580884055
0500000US13015,13015,"Bartow County, Georgia",99872,,4762,4.7681031721
0500000US13017,13017,"Ben Hill County, Georgia",17612,,539,3.0604133545
0500000US13019,13019,"Berrien County, Georgia",19131,,352,1.839945638
0500000US13021,13021,"Bibb County, Georgia",155560,,5344,3.4353304191
0500000US13023,13023,"Bleckley County, Georgia",13009,,340,2.6135752172
0500000US13025,13025,"Brantley County, Georgia",18279,,1007,5.5090541058
0500000US13027,13027,"Brooks County, Georgia",16066,,691,4.3010083406
0500000US13029,13029,"Bryan County, Georgia",30616,,2872,9.3807159655
0500000US13031,13031,"Bulloch County, Georgia",70360,,5353,7.6080159181
0500000US13033,13033,"Burke County, Georgia",23242,,1016,4.3713966096
0500000US13035,13035,"Butts County, Georgia",23671,,1570,6.6325883993
0500000US13037,13037,"Calhoun County, Georgia",6581,,86,1.3067922808
0500000US13039,13039,"Camden County, Georgia",50435,,4241,8.4088430653
0500000US13043,13043,"Candler County, Georgia",11007,,610,5.5419278641
0500000US13045,13045,"Carroll County, Georgia",110750,,4627,4.1778781038
0500000US13047,13047,"Catoosa County, Georgia",64226,,5180,8.065269517
0500000US13049,13049,"Charlton County, Georgia",12954,,347,2.678709279
0500000US13051,13051,"Chatham County, Georgia",266344,,13372,5.0205748956
0500000US13053,13053,"Chattahoochee County, Georgia",11917,,1272,10.6738273055
0500000US13055,13055,"Chattooga County, Georgia",25905,,833,3.2155954449
0500000US13057,13057,"Cherokee County, Georgia",215014,,21225,9.8714502311
0500000US13059,13059,"Clarke County, Georgia",117762,,7260,6.1649768176
0500000US13061,13061,"Clay County, Georgia",3174,,66,2.0793950851
0500000US13063,13063,"Clayton County, Georgia",262066,,3293,1.2565536926
0500000US13065,13065,"Clinch County, Georgia",6800,,107,1.5735294118
0500000US13067,13067,"Cobb County, Georgia",691820,,44374,6.4140961522
0500000US13069,13069,"Coffee County, Georgia",42566,,828,1.9452144904
0500000US13071,13071,"Colquitt County, Georgia",45531,,843,1.8514858009
